PX, vold
0,5.20417e-16
1.4861,0.00465909
2.9722,0.00931819
4.4583,0.0139773
5.9444,0.0186364
7.4305,0.0232955
8.9166,0.0279546
10.4027,0.0326137
11.8888,0.0372728
13.3749,0.0419319
14.861,0.0465909
16.3471,0.05125
17.8332,0.0559091
19.3193,0.0605682
20.8054,0.0652273
22.2915,0.0698864
23.7776,0.0745455
25.2637,0.0792046
26.7498,0.0838637
28.2359,0.0885228
29.722,0.0931819
31.2081,0.097841
32.6942,0.1025
34.1803,0.107159
35.6664,0.111818
37.1525,0.116478
38.6386,0.121137
40.1247,0.125796
41.6108,0.130456
43.0969,0.135115
44.583,0.139775
46.0691,0.144435
47.5552,0.149095
49.0413,0.153755
50.5274,0.158416
52.0135,0.163077
53.4996,0.167739
54.9857,0.172401
56.4718,0.177064
57.9579,0.181727
59.444,0.186392
60.9301,0.191057
62.4162,0.195723
63.9023,0.200391
65.3884,0.20506
66.8745,0.209731
68.3606,0.214403
69.8467,0.219078
71.3328,0.223754
72.8189,0.228433
74.305,0.233114
75.7911,0.237797
77.2772,0.242484
78.7633,0.247174
80.2494,0.251867
81.7355,0.256563
83.2216,0.261263
84.7077,0.265967
86.1938,0.270675
87.6799,0.275388
89.166,0.280105
90.6521,0.284827
92.1382,0.289554
93.6243,0.294286
95.1104,0.299024
96.5965,0.303767
98.0826,0.308517
99.5687,0.313272
101.055,0.318033
102.541,0.322801
104.027,0.327576
105.513,0.332357
106.999,0.337145
108.485,0.34194
109.971,0.346742
111.457,0.351551
112.944,0.356368
114.43,0.361193
115.916,0.366025
117.402,0.370864
118.888,0.375712
120.374,0.380567
121.86,0.38543
123.346,0.390301
124.832,0.39518
126.318,0.400067
127.805,0.404962
129.291,0.409865
130.777,0.414776
132.263,0.419694
133.749,0.424621
135.235,0.429555
136.721,0.434497
138.207,0.439447
139.693,0.444404
141.179,0.449369
142.666,0.454341
144.152,0.459321
145.638,0.464308
147.124,0.469302
148.61,0.474302
150.096,0.47931
151.582,0.484324
153.068,0.489345
154.554,0.494372
156.04,0.499406
157.527,0.504445
159.013,0.50949
160.499,0.514541
161.985,0.519598
163.471,0.524659
164.957,0.529726
166.443,0.534798
167.929,0.539874
169.415,0.544954
170.901,0.550039
172.388,0.555128
173.874,0.560221
175.36,0.565317
176.846,0.570417
178.332,0.57552
179.818,0.580625
181.304,0.585734
182.79,0.590844
184.276,0.595957
185.762,0.601072
187.249,0.606189
188.735,0.611307
190.221,0.616426
191.707,0.621547
193.193,0.626669
194.679,0.631791
196.165,0.636913
197.651,0.642035
199.137,0.647157
200.623,0.652278
202.11,0.657399
203.596,0.662518
205.082,0.667634
206.568,0.672749
208.054,0.677861
209.54,0.682971
211.026,0.688076
212.512,0.693179
213.998,0.698277
215.484,0.70337
216.971,0.708459
218.457,0.713542
219.943,0.718618
221.429,0.723687
222.915,0.728749
224.401,0.733802
225.887,0.738847
227.373,0.743883
228.859,0.74891
230.345,0.753927
231.832,0.758934
233.318,0.763928
234.804,0.768909
236.29,0.773876
237.776,0.778829
239.262,0.783768
240.748,0.788691
242.234,0.793599
243.72,0.79849
245.206,0.803365
246.693,0.808222
248.179,0.813062
249.665,0.817884
251.151,0.822687
252.637,0.827471
254.123,0.832236
255.609,0.836981
257.095,0.841705
258.581,0.846409
260.067,0.851092
261.554,0.855754
263.04,0.860388
264.526,0.864993
266.012,0.869569
267.498,0.874117
268.984,0.878635
270.47,0.883123
271.956,0.887581
273.442,0.892008
274.928,0.896406
276.415,0.900772
277.901,0.905078
279.387,0.909324
280.873,0.913509
282.359,0.917633
283.845,0.921697
285.331,0.925699
286.817,0.929641
288.303,0.933521
289.789,0.937341
291.276,0.941099
292.762,0.944743
294.248,0.948273
295.734,0.951689
297.22,0.954993
298.706,0.958185
300.192,0.961266
301.678,0.964236
303.164,0.967096
304.65,0.969848
306.137,0.972492
307.623,0.975006
309.109,0.977394
310.595,0.979656
312.081,0.981793
313.567,0.983809
315.053,0.985704
316.539,0.987481
318.025,0.989142
319.512,0.990689
320.998,0.992155
322.484,0.993543
323.97,0.994853
325.456,0.996088
326.942,0.99725
328.428,0.998341
329.914,0.999363
